source,target
11582761,214312931
11582761,214572725
11582761,214960600
11582761,215658720
11582761,215740443
11582761,216296698
11582761,217014081
11582761,218564654
11582761,218577537
11582761,218675170
11582761,218678491
11582761,219033932
11582761,219140284
11582761,219564372
11582761,219652523
11582761,220481079
11582761,220641823
11582761,220906292
11582761,221199104
11582761,221259994
11582761,221611795
11582761,222760159
11582761,222781619
11582761,223063763
11582761,223187249
11582761,223301632
11582761,223342734
11582761,224536971
11582761,224687908
11582761,225050320
11582761,225070940
11582761,225358970
11582761,225567629
11582761,225647232
11582761,225758540
11582761,226054127
11582761,226156400
11582761,226200545
11582761,226573479
11582761,226639398
11582761,226889028
11582761,227441454
11582761,227642862
11582761,228359606
11582761,229006562
11582761,230150428
11582761,230519296
11582761,231188847
11582761,231247116
11582761,232426366
11582761,232595514
11582761,234081282
11582761,235266321
11582761,236705719
11582761,236814079
11582761,236830887
11582761,237004690
11582761,238203270
11582761,238805767
11582761,239073178
11582761,239509164
11582761,240129442
11582761,240675933
11582761,241053709
11582761,241094184
11582761,241611533
11582761,241973009
11582761,242259444
11582761,243069413
11582761,243442726
11582761,243793990
11582761,244108033
11582761,244233234
11582761,244608896
11582761,244804148
11582761,245611451
11582761,245768582
11582761,246235503
11582761,246270887
11582761,246347949
11582761,246573998
11582761,246607495
11582761,246956497
11582761,247696494
11582761,247807121
11582761,247868626
11582761,247891367
11582761,249174914
11582761,249990335
11582761,250152182
11582761,250258814
11582761,250466643
11582761,250750677
11582761,250862861
11582761,250941878
11582761,251844948
11582761,252055086
11582761,252191507
11582761,252200342
11582761,252301871
11582761,252381776
11582761,252578119
11582761,253696057
11582761,254302240
11582761,255426305
11582761,256410917
11582761,256744968
11582761,256804252
11582761,257811624
11582761,257920562
11582761,258156992
11582761,258194105
11582761,258436177
11582761,258719814
11582761,258747215
11582761,259427410
11582761,260376102
11582761,260759008
11582761,260779483
11582761,261379823
11582761,262318942
11582761,262621159
11582761,262707630
11582761,263351331
11582761,264966609
11582761,265976336
11582761,266763583
11582761,266789851
11582761,266882872
11582761,267045461
11582761,267213400
11582761,267654286
11582761,267725110
11582761,268124744
11582761,268514106
11582761,268714898
11582761,269463248
11582761,270079007
11582761,270721659
11582761,272437657
11582761,273044021
11582761,273972612
11582761,275081850
11582761,275133005
11582761,275414034
11582761,275919688
11582761,276882244
11582761,277177798
11582761,278221892
11582761,279679914
11582761,280406845
11582761,281049434
11582761,281875903
11582761,282730016
11582761,283554964
11582761,283856328
11582761,286147539
11582761,286290636
11582761,286376608
11582761,287953776
11582761,288546941
11582761,288603492
11582761,289318591
11582761,289515185
11582761,290098795
11582761,290764036
11582761,291311643
11582761,291600032
11582761,291839677
11582761,292191253
11582761,293383498
11582761,293508341
11582761,294348390
11582761,295206307
11582761,295499375
11582761,295823653
11582761,296102229
11582761,296108069
11582761,297112891
11582761,297157843
11582761,297323532
11582761,298023299
11582761,298170906
11582761,298640984
11582761,299155531
11582761,299258433
11582761,299964986
11582761,300106426
11582761,300192026
11582761,300751450
11582761,300800978
11582761,301886411
11582761,301891980
11582761,302300454
11582761,303555649
11582761,303946405
11582761,305095030
11582761,305207789
11582761,305271862
11582761,306726901
11582761,307095551
11582761,307304772
11582761,307766541
11582761,307798855
11582761,308843012
11582761,309021021
11582761,309931782
11582761,310041507
11582761,310654125
11582761,310696372
11582761,310995897
11582761,313423016
11582761,314192180
11582761,314321217
11582761,314519225
11582761,315110195
11582761,317036811
11582761,317233239
11582761,317388861
11582761,318473560
11582761,319594501
11582761,319856583
11582761,320407999
11582761,320510939
11582761,322029309
11582761,322091737
11582761,322996964
11582761,323413294
11582761,323839719
11582761,324064804
11582761,324509308
11582761,326174038
11582761,326890707
11582761,326922807
11582761,326969675
11582761,327463816
11582761,328447164
11582761,329760859
11582761,330555788
11582761,330783388
11582761,331418212
11582761,331565723
11582761,333155356
11582761,333621944
11582761,334544983
11582761,334658441
11582761,334946645
11582761,335490460
11582761,336396032
11582761,336689111
11582761,337373507
11582761,338015970
11582761,338510889
11582761,339317305
11582761,340089576
11582761,341542207
11582761,341666243
11582761,342055941
11582761,342222583
11582761,343986266
11582761,344333472
11582761,344580447
11582761,345677574
11582761,345800599
11582761,346886113
11582761,347150597
11582761,349089669
11582761,351626800
11582761,352056043
11582761,352285074
11582761,352409266
11582761,352654163
11582761,352894096
11582761,353185946
11582761,353563568
11582761,353857988
11582761,355106207
11582761,355110760
11582761,356582673
11582761,356974025
11582761,357004461
11582761,357711707
11582761,357797270
11582761,358670153
11582761,359411663
11582761,361457998
11582761,362508710
11582761,365196060
11582761,365422736
11582761,367279940
11582761,368300553
11582761,368853436
11582761,370297328
11582761,370454034
11582761,371147273
11582761,371212675
11582761,371284392
11582761,371831530
11582761,372321404
11582761,372941899
11582761,374207114
11582761,374244868
11582761,375552380
11582761,379122478
11582761,380252895
11582761,382057334
11582761,382854702
11582761,382964549
11582761,383317840
11582761,384110719
11582761,384430782
11582761,387177340
11582761,388187466
11582761,388300103
11582761,388958859
11582761,389054634
11582761,389355432
11582761,390333183
11582761,390790432
11582761,392076151
11582761,393685998
11582761,393801177
11582761,394054460
11582761,394817046
11582761,395066287
11582761,395179850
11582761,396417993
11582761,397127417
11582761,397136196
11582761,398296633
11582761,402123129
11582761,402701359
11582761,403535807
11582761,403818849
11582761,404663530
11582761,407848277
11582761,409346005
11582761,410508867
11582761,410557132
11582761,410871225
11582761,410990284
11582761,413860800
11582761,414947616
11582761,415184463
11582761,419935811
11582761,420262214
11582761,421183808
11582761,421226835
11582761,422397933
11582761,423474972
11582761,423651442
11582761,423737677
11582761,424493998
11582761,424846222
11582761,425974439
11582761,427265328
11582761,428038777
11582761,429127066
11582761,429644794
11582761,430155052
11582761,430205963
11582761,431487465
11582761,432160123
11582761,432225997
11582761,434364559
11582761,436096022
11582761,440958186
11582761,441511485
11582761,442640520
11582761,442928517
